,Waktu,Inference Time,Jarak YOLO,Jarak MediaPipe,x-mid,near,Regulasi Waktu,Deteksi,Terkirim,Mencari,Keterangan
111,2024-12-18 12:55:19,0.0,1.1515047879616964,2.3422447418571184,165,341,0.339937686920166,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
113,2024-12-18 12:55:22,0.0,1.519404332129964,3.584200994767337,504,341,0.3309404850006103,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
114,2024-12-18 12:55:22,0.0,1.469022687609075,1.60420149982268,528,682,0.3886642456054687,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
115,2024-12-18 12:55:24,0.0009996891021728,1.1772727272727272,0.9651520589896118,511,341,2.1820809841156006,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
116,2024-12-18 12:55:25,0.0,1.1163793103448276,1.492423812494442,170,341,0.4715368747711181,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
125,2024-12-18 12:55:29,0.0,1.4029166666666666,1.2102605689515558,509,341,1.1263411045074463,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
126,2024-12-18 12:55:30,0.0,1.421875,1.2387348971378198,508,341,0.3296492099761963,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
127,2024-12-18 12:58:02,0.4158406257629394,1.2696078431372548,2.0366909812316574,149,341,1.9436414241790767,b'A\n',b'2\n',Dalam frame,Kursi roda belok Kiri
128,2024-12-18 12:58:03,0.0,1.097457627118644,2.0831933983057684,145,341,0.3955214023590088,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
129,2024-12-18 12:58:03,0.0,1.697076612903226,8.267350759858331,619,682,0.3395345211029053,b'B\n',b'A\n',Dalam frame,Kursi roda Maju
130,2024-12-18 12:58:03,0.0,1.6472602739726028,2.684498904401478,616,682,0.2776753902435303,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
131,2024-12-18 12:58:04,0.0,1.4291171477079798,1.991093372301305,795,682,0.3573372364044189,b'E\n',b'B\n',Dalam frame,Kursi roda belok Kanan
132,2024-12-18 12:58:04,0.0,1.458838821490468,1.7653384871793,820,682,0.323617935180664,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
133,2024-12-18 12:58:05,0.0,1.676792828685259,1.8144890261744964,795,682,0.355989933013916,b'E\n',b'E\n',Dalam frame,Kursi roda belok Kanan
134,2024-12-18 12:58:05,0.0,1.389026402640264,12.622283585632571,130,341,0.3549075126647949,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
135,2024-12-18 12:58:05,0.0,1.3446485623003197,2.3905714751760105,174,341,0.405430793762207,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
